A,,B,,C,
T,V,T,V,T,V
10.38873,426.3291,10.38873,1784.802,10.38873,449.8046
10.43645,436.4318,10.43645,1794.297,10.43645,439.2414
10.48418,469.1224,10.48418,1790.403,10.48418,428.2713
10.5319,489.2278,10.5319,1741.402,10.5319,424.6713
10.57962,483.0872,10.57962,1715.932,10.57962,442.9402
10.62735,429.7061,10.62735,1675.454,10.62735,460.6115
10.67507,378.0239,10.67507,1644.506,10.67507,487.2023
10.72279,326.9198,10.72279,1658.696,10.72279,494.9287
10.7705,297.7328,10.7705,1732.293,10.7705,494.9218
10.81822,263.2166,10.81822,1812.423,10.81822,495.515
10.86594,252.2982,10.86594,1844.092,10.86594,483.9264
10.91365,269.865,10.91365,1787.965,10.91365,466.2414
10.96137,309.962,10.96137,1676.352,10.96137,411.0988
11.00908,348.9325,11.00908,1570.397,11.00908,376.4966
11.0568,365.9662,11.0568,1547.919,11.0568,344.3172
11.10451,387.3966,11.10451,1547.689,11.10451,322.8644
11.15222,436.6076,11.15222,1534.045,11.15222,310.9333
11.19993,470.1069,11.19993,1513.355,11.19993,311.2092
11.24764,468.9339,11.24764,1485.491,11.24764,333.4828
11.29535,449.5218,11.29535,1450.443,11.29535,369.5816
11.34305,427.4416,11.34305,1445.984,11.34305,419.846
11.39076,433.6638,11.39076,1549.273,11.39076,483.6276
11.43847,459.0422,11.43847,1665.755,11.43847,543.0851
11.48617,462.8453,11.48617,1738.556,11.48617,561.3701
11.53387,427.5274,11.53387,1678.521,11.53387,543.9172
11.58157,402.9705,11.58157,1566.334,11.58157,497.1218
11.62927,382.8889,11.62927,1461.433,11.62927,465.354
11.67697,390.7089,11.67697,1389.146,11.67697,434.2943
11.72467,393.7722,11.72467,1330.827,11.72467,407.0667
11.77237,401.0534,11.77237,1279.918,11.77237,379.4414
11.82006,401.3741,11.82006,1263.506,11.82006,368.7632
11.86776,377.7693,11.86776,1264.924,11.86776,349.3747
11.91545,385.6512,11.91545,1260.256,11.91545,353.9287
11.96315,401.0253,11.96315,1268.11,11.96315,370.3425
12.01085,403.4754,12.01085,1305.776,12.01085,372.4276
12.05854,421.2222,12.05854,1335.666,12.05854,371.7242
12.10623,442.7173,12.10623,1341.115,12.10623,371.2483
12.15392,462.4177,12.15392,1307.433,12.15392,362.4828
12.20161,470.7764,12.20161,1273.87,12.20161,348.7035
12.2493,483.6765,12.2493,1279.15,12.2493,324.6575
12.29699,471.6456,12.29699,1307.068,12.29699,300.9448
12.34467,425.8664,12.34467,1293.117,12.34467,278.2069
12.39236,385.4079,12.39236,1245.898,12.39236,258.2621
12.44004,347.0085,12.44004,1230.318,12.44004,286.7954
12.48773,331.7581,12.48773,1247.436,12.48773,309.9862
12.53541,344.9044,12.53541,1295.378,12.53541,333.4299
12.5831,339.1828,12.5831,1301.511,12.5831,354.1678
12.63078,326.6343,12.63078,1226.139,12.63078,342.9885
12.67846,337.7708,12.67846,1123.504,12.67846,349.046
12.72614,336.955,12.72614,1097.752,12.72614,353.1011
12.77382,338.3193,12.77382,1111.126,12.77382,363.5609
12.8215,343.9648,12.8215,1119.127,12.8215,356.5034
12.86917,380.0562,12.86917,1118.407,12.86917,343.7747
12.91685,424.2588,12.91685,1094.772,12.91685,321.1563
12.96452,458.8959,12.96452,1157.61,12.96452,328.0138
13.0122,472.4247,13.0122,1221.528,13.0122,344.9678
13.05987,477.0155,13.05987,1230.945,13.05987,345.5678
13.10754,490.2757,13.10754,1171.774,13.10754,324.0115
13.15522,517.3938,13.15522,1143.407,13.15522,325.3655
13.20289,501.0323,13.20289,1107.158,13.20289,331.1931
13.25056,481.443,13.25056,1093.385,13.25056,330.485
13.29823,452.2377,13.29823,1094.809,13.29823,346
13.3459,426.8481,13.3459,1159.102,13.3459,377.6873
13.39357,418.0844,13.39357,1199.446,13.39357,370.8713
13.44123,419.8017,13.44123,1221.485,13.44123,382.5172
13.4889,408.7314,13.4889,1191.454,13.4889,375.6023
13.53657,366.2278,13.53657,1121.605,13.53657,381.2414
13.58423,300.4852,13.58423,1040.477,13.58423,352.5517
13.6319,252.1055,13.6319,1027.262,13.6319,329.1035
13.67956,236.5823,13.67956,1114.382,13.67956,298.754
13.72722,239.1885,13.72722,1148.781,13.72722,292.4207
13.77488,273.7257,13.77488,1097.666,13.77488,295.0138
13.82254,305.7299,13.82254,1003.861,13.82254,298.7839
13.8702,309.8959,13.8702,942.5587,13.8702,313.8253
13.91787,324.0436,13.91787,908.2815,13.91787,319.0184
13.96552,335.1744,13.96552,920.3196,13.96552,292.9241
14.01318,341.5232,14.01318,915.1867,14.01318,293.0023
14.06084,325.9297,14.06084,936.628,14.06084,287.7954
14.10849,311.8129,14.10849,981.9915,14.10849,309.7195
14.15615,313.7862,14.15615,1053.89,14.15615,307.0345
14.20381,292.7075,14.20381,1080.644,14.20381,296.2713
14.25146,268.5584,14.25146,1079.914,14.25146,288.6529
14.29911,257.9072,14.29911,1024.347,14.29911,290.1494
14.34677,270.7834,14.34677,981.3267,14.34677,302.0161
14.39442,271.4838,14.39442,966.331,14.39442,291.0598
14.44207,309.0028,14.44207,1017.441,14.44207,273.8276
14.48972,333.6202,14.48972,1087.371,14.48972,252.3885
14.53737,365.443,14.53737,1076.158,14.53737,229.6023
14.58502,349.7299,14.58502,994.8458,14.58502,232.9356
14.63267,338.82,14.63267,905.6153,14.63267,254.892
14.68032,322.1139,14.68032,895.5629,14.68032,285.8805
14.72797,319.1449,14.72797,926.6039,14.72797,322.2115
14.77561,331.3446,14.77561,972.2037,14.77561,359.669
14.82326,358.7215,14.82326,958.6874,14.82326,372.8759
14.8709,372.8172,14.8709,935.1075,14.8709,353.0322
14.91855,371.166,14.91855,908.3027,14.91855,320.1471
14.96619,347.1603,14.96619,906.4554,14.96619,288.9127
15.01384,304.9761,15.01384,909.5643,15.01384,287.1218
15.06148,288.173,15.06148,935.8925,15.06148,300.2736
15.10912,271.0085,15.10912,933.4243,15.10912,300.3839
15.15676,289.0605,15.15676,849.8303,15.15676,308.6575
15.2044,324.6582,15.2044,737.8854,15.2044,306.5885
15.25204,332.2025,15.25204,712.2348,15.25204,312.5356
15.29968,336.076,15.29968,746.9547,15.29968,313.5081
15.34732,328.1772,15.34732,813.2094,15.34732,271.8115
15.39496,328.3193,15.39496,831.3296,15.39496,244.2529
15.4426,332.6765,15.4426,824.2971,15.4426,246.7057
15.49023,341.6962,15.49023,781.0128,15.49023,268.7195
15.53787,334.6737,15.53787,775.884,15.53787,256.3034
15.58551,304.3418,15.58551,807.9731,15.58551,227.9954
15.63314,296.2715,15.63314,870.9123,15.63314,213.8713
15.68077,298.7961,15.68077,899.1556,15.68077,187.6391
15.72841,288.5654,15.72841,873.9858,15.72841,203.5287
15.77604,274.9466,15.77604,846.3253,15.77604,182.5149
15.82368,268.7567,15.82368,843.3932,15.82368,213.977
15.87131,265.3769,15.87131,861.0438,15.87131,235.1104
15.91894,269.6484,15.91894,829.5941,15.91894,261.023
15.96657,270.5851,15.96657,785.4286,15.96657,267.7724
16.0142,266.9268,16.0142,751.652,16.0142,262.7104
16.06183,259.0788,16.06183,706.6436,16.06183,240.9356
16.10946,266.7342,16.10946,647.2574,16.10946,204.1977
16.15709,278.4135,16.15709,650.215,16.15709,192.9609
16.20472,300.3362,16.20472,667.727,16.20472,196.0138
16.25234,310.0605,16.25234,742.7553,16.25234,212.3701
16.29997,283.6807,16.29997,779.2348,16.29997,212.7402
16.3476,237.2869,16.3476,769.7256,16.3476,226.3931
16.39522,200.73,16.39522,726.2815,16.39522,247.4782
16.44285,201.8636,16.44285,725.877,16.44285,248.0115
16.49047,207.4135,16.49047,813.6619,16.49047,232.3402
16.5381,191.7356,16.5381,863.9618,16.5381,222.7034
16.58572,180.2602,16.58572,847.0311,16.58572,233.5402
16.63334,192.4866,16.63334,787.7369,16.63334,240.308
16.68097,224.9114,16.68097,726.7285,16.68097,239.5264
16.72859,243.0169,16.72859,682.4102,16.72859,230.2069
16.77621,242.654,16.77621,657.8486,16.77621,240.8621
16.82383,231.4838,16.82383,665.5912,16.82383,239.7149
16.87145,218.9733,16.87145,683.8586,16.87145,212.2069
16.91907,197.4332,16.91907,704.9675,16.91907,179.5333
16.96669,181.5288,16.96669,720.2051,16.96669,159.8943
17.01431,159.5781,17.01431,747.6011,17.01431,167.9586
17.06193,164.9522,17.06193,800.8911,17.06193,177.6943
17.10955,195.4782,17.10955,858.099,17.10955,175.3149
17.15717,226.3446,17.15717,880.942,17.15717,189.2644
17.20478,258.7708,17.20478,874.8501,17.20478,174.1885
17.2524,283.1913,17.2524,904.7086,17.2524,159.2483
17.30001,331.4754,17.30001,883.1796,17.30001,158.1333
17.34763,337.609,17.34763,817.0933,17.34763,167.4046
17.39524,328.3277,17.39524,784.8868,17.39524,208.892
17.44286,304.1252,17.44286,792.3239,17.44286,231.6575
17.49047,277.5837,17.49047,837.9547,17.49047,231.1839
17.53809,248.0436,17.53809,867.3098,17.53809,218.6115
17.5857,232.8453,17.5857,873.6039,17.5857,195.9839
17.63332,214.9311,17.63332,840.0396,17.63332,176.754
17.68093,195.1899,17.68093,787.8911,17.68093,164.3517
17.72854,207.4374,17.72854,731.1344,17.72854,157.6
17.77615,222.7848,17.77615,664.652,17.77615,198.2529
17.82376,252.0928,17.82376,623.901,17.82376,262.1379
17.87137,264.3249,17.87137,663.5544,17.87137,287.0046
17.91898,248.4543,17.91898,717.6832,17.91898,275.4414
17.96659,235.0816,17.96659,727.7751,17.96659,244.1333
18.01421,209.9648,18.01421,714.2857,18.01421,208.6874
18.06181,182.9888,18.06181,696.2914,18.06181,199.7103
18.10942,177.8847,18.10942,701.4696,18.10942,207.4345
18.15703,189.7736,18.15703,741.7411,18.15703,224.7747
18.20464,223.5865,18.20464,772.3564,18.20464,203.9931
18.25224,233.7187,18.25224,783.4781,18.25224,164.6184
18.29985,234.9536,18.29985,803.8444,18.29985,144.3954
18.34746,217.2996,18.34746,786.8868,18.34746,157.6506
18.39507,225.4515,18.39507,778.2009,18.39507,185.4276
18.44267,229.1477,18.44267,760.3691,18.44267,212.6276
18.49028,233.4051,18.49028,764.6039,18.49028,199.8805
18.53788,234.8622,18.53788,763.1909,18.53788,202.0575
18.58549,248.1913,18.58549,733.8401,18.58549,216.2483
18.63309,267.6273,18.63309,695.2023,18.63309,216.6046
18.68069,297.6568,18.68069,638.3748,18.68069,209.2299
18.7283,303.6315,18.7283,552.4201,18.7283,191.0667
18.7759,281.4979,18.7759,518.3225,18.7759,189.5034
18.82351,249.6948,18.82351,527.3338,18.82351,192.2299
18.87111,232.2911,18.87111,545.5148,18.87111,186.423
18.91871,214.5148,18.91871,593.0396,18.91871,195.8092
18.96632,219.0872,18.96632,638.1358,18.96632,191.9724
19.01392,213.4627,19.01392,690.4611,19.01392,169.7172
19.06152,196.5682,19.06152,697.4724,19.06152,155.9241
19.10912,204.0577,19.10912,677.3338,19.10912,152.5954
19.15672,212.007,19.15672,688.587,19.15672,163.5103
19.20432,242.9212,19.20432,732.4442,19.20432,179.3563
19.25192,252.7764,19.25192,768.8882,19.25192,165.0598
19.29952,220.1702,19.29952,746.3281,19.29952,156.4276
19.34712,187.91,19.34712,689.3083,19.34712,155.5724
19.39472,212.5809,19.39472,633.9519,19.39472,173.2529
19.44232,241.9859,19.44232,597.4696,19.44232,187.2851
19.48992,250.1041,19.48992,599.1924,19.48992,219.8828
19.53752,237.3783,19.53752,598.4696,19.53752,234.9081
19.58512,204.1392,19.58512,581.4003,19.58512,233.5241
19.63272,186.4557,19.63272,589.1655,19.63272,226.4115
19.68031,182.6034,19.68031,621.2234,19.68031,214.4897
19.72791,182.7384,19.72791,674.4385,19.72791,178.5356
19.77551,179.9156,19.77551,675.1641,19.77551,143.9724
19.8231,193.6554,19.8231,622.9505,19.8231,131.2874
19.8707,194.7468,19.8707,591.2376,19.8707,115.3264
19.91829,199.8312,19.91829,533.9858,19.91829,116.5425
19.96589,232.8228,19.96589,527.9109,19.96589,114.1448
20.01348,259.6512,20.01348,526.5148,20.01348,137.6345
20.06108,264.2616,20.06108,548.5092,20.06108,151.5494
20.10868,254.7623,20.10868,538.959,20.10868,163.1977
20.15627,247.8242,20.15627,522.1782,20.15627,155.1149
20.20387,251.5077,20.20387,536.9222,20.20387,141.8437
20.25146,243.2658,20.25146,553.0933,20.25146,141.6828
20.29906,231.9016,20.29906,545.8289,20.29906,153.7218
20.34666,241.5837,20.34666,531.2461,20.34666,168.6138
20.39425,295.7004,20.39425,507.2617,20.39425,151.0897
20.44185,331.0309,20.44185,495.652,20.44185,112.1425
20.48944,354.7187,20.48944,512.5007,20.48944,111.0437
20.53703,344.8172,20.53703,544.3578,20.53703,110.3655
20.58463,338.2391,20.58463,569.2701,20.58463,130.7081
20.63222,295.218,20.63222,587.9477,20.63222,139.3701
20.67981,287.6793,20.67981,588.5347,20.67981,138.9632
20.7274,278.6751,20.7274,585.7468,20.7274,145.6667
20.77499,290.18,20.77499,612.4894,20.77499,161.531
20.82259,290.0253,20.82259,627.9986,20.82259,177.7517
20.87018,249.9283,20.87018,632.0891,20.87018,186.8299
20.91777,216.9803,20.91777,585.0198,20.91777,176.4529
20.96536,198.0127,20.96536,505.6591,20.96536,158.8828
21.01295,169.3601,21.01295,459.4936,21.01295,169.8299
21.06055,164.1238,21.06055,449.5375,21.06055,164.6851
21.10814,178.7468,21.10814,458.7482,21.10814,174.8345
21.15573,208.8495,21.15573,447.1669,21.15573,191.2943
21.20332,201.3741,21.20332,472.5488,21.20332,213.9931
21.25092,171.8847,21.25092,489.7482,21.25092,217.8322
21.29851,150.9016,21.29851,526.3027,21.29851,209.2138
21.3461,154.384,21.3461,539.3677,21.3461,192.9632
21.39369,170.0225,21.39369,527.5078,21.39369,177.5195
21.44128,213.6962,21.44128,523.1188,21.44128,178.354
21.48888,238.0872,21.48888,519.0637,21.48888,180.7586
21.53647,229.5288,21.53647,512.1471,21.53647,184.423
